prescription_name,Acute Kidney Failure,Chronic Kidney Disease,Diabetes,Heart Attack,Asthma,Liver Disease,Hypertension,Pneumonia
Ipratropium Bromide MDI,2560,1030,2165,794,949,431,2625,1302
Vasopressin,2542,795,1337,696,255,604,1317,623
Magnesium Oxide,2438,726,2710,1364,498,761,3068,976
Pneumococcal Vac Polyvalent,2367,1614,2915,1112,533,293,5094,864
Simvastatin,2347,2148,4432,1301,703,227,5321,779
Zolpidem Tartrate,2344,1071,2877,1354,569,533,3634,1006
Prednisone,2326,504,2158,926,886,604,2487,1131
Diazepam,2302,464,1681,566,734,2225,3927,850
D5W (EXCEL BAG),2221,815,2100,1594,272,127,3339,795
DiphenhydrAMINE,2193,1422,2310,358,880,585,3075,880
Gabapentin,2162,1516,3767,610,774,483,2529,925
Hydralazine HCl,2108,122,1969,934,223,195,2588,786
Alteplase (Catheter Clearance),2101,865,1584,382,338,286,1628,762
Albuterol,2087,623,1950,786,1032,343,2489,1049
FoLIC Acid,2051,1107,1830,427,474,1802,3049,694
Lactated Ringers,2043,748,1628,259,473,383,2726,521
Quetiapine Fumarate,2011,948,1874,457,658,448,2408,699
Miconazole Powder 2%,1977,796,1846,475,392,482,1854,730
traZODONE,1975,1385,2101,638,496,550,2241,753
Mycophenolate Mofetil,1968,1087,2250,285,180,1859,1054,464
Prochlorperazine,1954,999,2405,443,479,577,2235,721
Carvedilol,1952,1666,2759,1020,255,137,2065,503
Cisatracurium Besylate,1921,328,869,406,322,401,1316,521
Prismasate (B32 K2),1903,999,1023,359,218,597,590,359
Lidocaine Jelly 2% (Urojet),1843,964,1504,471,231,643,1541,587
Albuterol Inhaler,1842,910,1737,407,1160,450,2180,857
Hydromorphone,1833,688,3125,669,605,541,3631,986
Ferrous Sulfate,1819,1238,2340,489,402,347,1931,655
Olanzapine (Disintegrating Tablet),1816,1035,1429,506,312,268,1843,867
Dexamethasone,1757,584,1985,263,620,270,4272,1103
Omeprazole,1741,1428,2324,484,648,567,2625,656
Albumin 5% (25g / 500mL),1695,762,1246,491,337,769,1928,324
Cosyntropin,1685,553,1108,375,168,350,933,596
Spironolactone,1682,630,1201,276,250,2192,1177,531
Milk of Magnesia,1680,1265,4088,1697,885,294,7175,577
Metolazone,1674,965,1409,470,146,220,582,377
Thiamine,1657,526,1113,268,353,1748,2344,487
Acyclovir,1647,456,832,171,234,217,1210,608
Potassium Chloride (Powder),1635,689,1315,314,345,567,2064,723
5% Dextrose (EXCEL BAG),1622,731,1143,711,268,131,1821,418
Phenylephrine HCl,1619,385,2293,1255,299,337,3999,621
Sodium Phosphate,1605,635,1655,296,373,630,2169,660
Potassium Chl 20 mEq / 1000 mL D5 1/2 NS,1602,660,2330,242,593,431,3880,705
HydrALAZINE HCl,1585,691,1879,422,201,79,2081,471
Vitamin D,1573,1063,1741,392,492,441,1982,650
Epoetin Alfa,1559,1902,2272,422,206,301,355,506
Octreotide Acetate,1553,435,812,76,168,2411,730,341
Nystatin Oral Suspension,1535,752,1393,363,297,338,1502,641
Prismasate (B22 K4),1470,953,793,226,164,544,387,300
Heparin Flush PICC (100 units/ml),1395,634,1444,362,223,265,1322,498
Enoxaparin Sodium,1391,476,1430,592,391,210,2314,662
Polyethylene Glycol,1390,992,1564,373,378,195,1602,579
Lansoprazole Oral Disintegrating Tab,1390,772,1352,367,286,334,1440,563
Vancomycin Oral Liquid,1389,737,926,205,189,266,873,403
Milrinone,1386,647,1226,820,221,87,1263,309
Phenytoin Sodium,1368,603,2350,491,429,304,4427,1162
Albuterol-Ipratropium,1358,621,1512,617,599,205,2155,616
NORepinephrine,1335,565,786,291,233,326,905,355
Chlorothiazide Sodium,1329,616,903,347,96,156,463,302
Allopurinol,1313,1072,1254,387,162,108,1112,472
Potassium Chloride Replacement (Oncology),1312,392,821,168,262,181,1595,807
Clopidogrel,1309,1341,2385,1849,375,115,2242,391
Linezolid,1283,571,1047,226,131,314,896,410
Calcium Acetate,1259,1203,1555,370,134,216,316,341
Nesiritide,1240,175,702,508,64,37,381,315
Dolasetron Mesylate,1204,459,1651,446,267,267,1787,478
Labetalol HCl,1178,409,1737,372,125,79,2376,531
LeVETiracetam,1172,917,1723,291,396,474,2878,653
Sodium CITRATE 4%,1171,913,804,178,191,399,296,318
Azithromycin,1170,603,1011,327,437,188,1213,1284
Albumin 5% (12.5g / 250mL),1146,499,824,219,238,424,1144,248
CefazoLIN,1132,1109,2502,593,634,259,4499,396
D5NS,1131,487,1244,180,183,356,1217,329
Syringe (IV Room),1125,182,801,304,192,807,1008,424
Acetaminophen (Liquid),1112,434,952,235,221,226,1229,488
Isosorbide Mononitrate (Extended Release),1089,1012,1796,885,188,49,1213,348
Clopidogrel Bisulfate,1085,618,2359,2674,260,67,2940,446
Atropine Sulfate,1071,605,1803,2365,253,110,2588,336
Olanzapine,1069,563,1046,384,181,156,1173,541
TraMADOL (Ultram),1048,880,1542,474,396,328,2007,341
Fentanyl Patch,1038,434,855,182,270,199,1050,472
Isosorbide Dinitrate,1033,577,1127,589,101,41,679,313
Phenytoin,1033,468,1800,403,292,277,2954,636
Soln.,1030,140,1219,547,292,252,2684,769
Metoprolol Succinate XL,1029,929,1508,733,266,99,1759,339
Methadone,1027,358,630,95,269,458,878,381
Fluticasone Propionate 110mcg,1026,537,1277,462,1026,115,1746,537
Torsemide,1023,890,1068,168,187,120,404,203
Atenolol,1016,571,1730,479,252,165,3434,425
Meperidine,1009,440,1912,859,338,171,3329,383
Lidocaine 1%,1008,700,1081,163,271,487,970,392
DOPamine,989,545,797,458,118,109,692,253
Midodrine,987,734,739,105,128,999,321,291
Sulfameth/Trimethoprim SS,984,666,1065,120,118,769,513,256
Glycopyrrolate,965,810,2700,1321,493,143,4834,284
Humulin-R Insulin,965,52,1882,744,140,181,1277,339
Sarna Lotion,958,590,967,222,213,322,940,333
Acetaminophen IV,955,431,867,180,279,185,1292,316
Lidocaine 5% Patch,951,653,940,194,273,258,891,384
Sulfameth/Trimethoprim DS,936,460,887,236,198,230,1107,399
Albuterol Neb Soln,933,77,697,563,365,141,1073,652
Simethicone,932,482,960,355,227,325,1190,319
Sucralfate,913,563,1836,894,340,569,3012,271
Aluminum-Magnesium Hydrox.-Simethicone,902,519,1080,442,258,214,1383,318
Hydrochlorothiazide,899,431,1316,307,318,111,2646,295
DopAmine,894,143,567,501,53,93,513,270
Ibuprofen,887,279,1380,426,511,281,2392,539
Artificial Tears,885,359,710,232,150,219,932,336
Nitroglycerin SL,884,681,1526,1200,243,93,1710,331
Clonazepam,876,395,1054,281,460,195,1286,474
Guaifenesin,872,497,832,285,306,141,987,617
Scopolamine Patch,871,370,619,201,85,229,910,408
Citalopram Hydrobromide,864,544,1199,269,250,228,1117,345
0.45% Sodium Chloride,860,447,956,256,173,396,838,245
PHENYLEPHrine,859,501,1011,338,269,214,1511,234
Methylprednisolone Na Succ.,830,126,692,239,148,609,673,302
Sodium Chloride Nasal,828,487,873,284,235,179,971,395
Oxycodone,824,227,922,199,154,317,697,373
NS (Glass Bottle),820,227,1411,344,180,183,2443,736
Normocarb,812,112,290,121,6,264,159,48
Epinephrine,803,397,887,657,109,79,1328,166
Diphenhydramine HCl,803,67,940,470,191,177,1360,364
Desmopressin Acetate,799,495,560,136,78,344,287,185
Rifaximin,798,302,447,37,93,1337,294,195
Aluminum Hydroxide Suspension,778,284,410,122,48,116,201,158
Syringe (0.9% Sodium Chloride),775,333,543,98,125,133,637,276
traZODONE HCl,763,263,944,436,149,183,1055,355
AMP,755,225,366,44,70,899,327,175
Bumetanide,751,436,622,192,91,64,385,202
Sirolimus,749,338,981,104,41,187,232,238
Lansoprazole Oral Suspension,742,127,639,287,93,123,798,360
Neostigmine,740,624,2273,1160,404,96,4172,188
Daptomycin,740,448,506,96,92,301,427,248
Artificial Tear Ointment,738,212,452,124,116,169,637,238
Valsartan,736,647,1408,373,208,92,1394,181
Neomycin-Polymyxin-Bacitracin,735,934,848,126,148,250,154,242
Propofol (Generic),732,38,650,555,134,179,1027,355
Clindamycin,725,283,718,193,233,156,922,318
Citrate Dextrose 3% (ACD-A) CRRT,723,441,407,107,100,257,223,168
Folic Acid,718,196,775,308,141,484,1212,270
Ampicillin-Sulbactam,707,370,854,141,125,538,820,180
ValGANCIclovir,698,501,629,38,77,786,260,138
Dexmedetomidine,693,331,726,234,256,160,1144,235
Albumin 25% (12.5 g),690,173,402,58,58,603,342,153
Aztreonam,679,217,431,112,158,140,429,310
Golytely,672,435,691,190,119,234,788,146
Multivitamin IV,669,151,434,107,144,420,900,236
CloniDINE,664,599,840,101,146,80,759,187
Caspofungin,663,137,318,50,55,174,363,162
D10W,662,352,1012,84,91,230,416,248
Cyanocobalamin,658,396,689,195,130,179,826,241
Oxycodone SR (OxyconTIN),646,422,653,122,236,149,785,283
Voriconazole,644,143,220,63,61,34,352,318
Loperamide,641,345,431,96,98,189,495,193
Ceftriaxone,641,43,458,210,76,179,415,413
Ampicillin Sodium,638,248,541,164,103,139,671,187
Albumin 25% (12.5gm),638,46,180,55,27,536,247,153
Losartan Potassium,634,464,1153,321,193,43,1175,224
Heparin Dwell (1000 Units/mL),632,918,813,87,169,203,120,211
Argatroban,623,276,491,160,34,104,401,101
Thiamine HCl,623,147,590,207,165,655,1148,232
Tacrolimus Suspension,622,332,365,31,86,533,211,161
Gentamicin,621,369,673,150,141,108,667,231
CycloSPORINE (Sandimmune),620,121,142,52,9,23,358,120
Isotonic Sodium Chloride,613,362,674,149,136,108,660,225
Sevelamer,612,805,1176,219,79,138,143,214
Ciprofloxacin,610,181,436,111,73,244,497,187
Ursodiol,607,202,323,55,48,585,305,135
Mirtazapine,606,401,600,158,126,157,696,275
Azithromycin ,606,232,438,131,165,81,451,508
DiphenhydrAMINE HCl,605,261,681,165,154,104,991,214
Morphine Sulfate IR,603,262,544,96,171,207,600,226
Readi-Cat 2 (Barium Sulfate 2% Suspension),603,245,386,59,138,237,535,209
Cyclosporine Modified (Neoral),599,34,372,153,0,1528,181,119
Heparin Flush (1000 units/mL),592,573,519,80,95,260,168,179
DOBUTamine,591,230,384,254,67,52,342,174
Nadolol,586,193,415,30,79,1330,462,150
Fludrocortisone Acetate,584,226,606,144,87,118,350,208
Esmolol,576,223,401,251,70,69,788,168
AcetaZOLamide Sodium,569,216,553,151,145,100,758,280
Tamsulosin,567,491,758,256,128,55,950,178
Metoprolol XL,565,226,940,711,68,26,1072,170
Nitroprusside Sodium,559,193,1279,569,203,51,2749,306
Micafungin,545,190,252,36,62,229,285,191
Vecuronium Bromide,545,112,369,135,104,74,591,241
Ascorbic Acid,538,378,959,257,121,95,1060,201
Filgrastim,538,115,217,39,60,78,351,208
Diltiazem Extended-Release,529,378,822,139,281,74,1017,276
Sulfameth/Trimethoprim,524,148,232,52,51,83,245,208
Ketorolac,516,257,2301,871,777,151,4896,338
Nafcillin,512,226,381,92,61,121,427,109
CycloSPORINE (Neoral) MODIFIED,511,210,138,18,26,138,327,173
Tiotropium Bromide,497,382,559,180,318,86,832,293
Calcitriol,494,647,735,112,64,40,102,164
Nicotine Patch,492,198,597,211,253,301,931,270
Colchicine,490,370,543,137,81,75,552,121
Sertraline,486,392,745,110,167,101,735,256
Nephrocaps,484,1503,1660,265,129,171,97,258
Calcium Chloride,468,141,288,129,39,148,286,83
Ambisome,446,72,109,28,27,91,148,167
Methylprednisolone Na Succ,445,81,379,120,144,228,449,206
NIFEdipine CR,444,727,795,105,106,34,464,209
Alprazolam,443,219,536,168,210,110,867,186
Morphine SR (MS Contin),442,171,397,53,141,132,466,209
OxycoDONE Liquid,438,253,427,43,141,158,548,184
Ceftazidime,428,32,333,139,33,69,198,182
Tuberculin Protein,426,284,343,75,73,136,231,157
Tobramycin Sulfate,425,187,327,51,66,60,329,114
Calcium Replacement (Oncology),414,97,176,43,41,38,396,162
Cefepime,411,67,161,60,18,55,222,141
Eptifibatide,407,180,818,1973,121,20,1252,171
Fluticasone-Salmeterol Diskus (250/50) ,405,267,493,104,462,93,610,227
Potassium Chl 20 mEq / 1000 mL NS,404,203,976,98,223,112,1942,274
Methadone HCl,404,100,368,37,108,224,269,192
Lactulose Enema,399,160,212,37,53,526,189,117
Morphine Sulfate (Oral Soln.),398,189,343,69,64,98,338,216
Amino Acids 4.25% W/ Dextrose 5%,395,80,228,79,42,76,314,146
Nitroglycerin Ointment  2%,394,298,395,163,50,31,363,139
Potassium Chl 40 mEq / 1000 mL D5 1/2 NS,394,114,584,50,103,80,570,123
Ondansetron ODT,392,258,423,67,104,121,369,173
Cefazolin,392,94,940,254,182,58,1840,225
Benzonatate,390,224,353,121,184,76,442,338
Sodium Chloride,390,73,350,47,56,182,838,237
Finasteride,389,288,440,129,73,22,522,101
Risperidone,387,209,456,117,129,75,480,244
Cephalexin,386,217,520,189,105,64,781,74
Maalox/Diphenhydramine/Lidocaine,386,186,270,99,74,70,321,120
Promethazine HCl,385,141,617,167,110,107,576,110
PNEUMOcoccal Vac Polyvalent,383,260,440,166,88,75,742,165
Cepacol (Menthol),381,283,462,124,155,111,568,169
Ganciclovir,377,50,135,17,52,209,141,97
Erythromycin 0.5% Ophth Oint,376,171,319,95,67,96,374,136
Succinylcholine,371,113,248,87,70,110,403,183
Loperamide HCl,370,59,287,74,27,66,283,95
Latanoprost 0.005% Ophth. Soln.,369,318,649,209,91,38,756,139
Erythromycin,368,179,430,68,47,187,320,121
Pravastatin,366,395,921,283,122,40,984,116
Etomidate,366,123,240,98,60,97,316,173
Levetiracetam,362,166,514,96,95,139,862,171
Hydrocodone-Acetaminophen,361,272,734,142,165,87,784,157
Lidocaine,361,187,386,429,47,35,440,134
Doxycycline Hyclate,361,104,239,47,53,48,263,136
Heparin Flush (100 units/ml),360,142,278,47,94,47,364,155
Phenytoin (Suspension),351,165,430,109,54,55,788,226
Gentamicin Sulfate,349,161,286,60,85,51,297,134
Morphine Sulfate (Concentrated Oral Soln),338,183,244,87,28,76,357,123
CefTRIAXone,332,140,278,114,64,82,313,215
NiCARdipine IV,329,274,572,97,121,58,1373,174
Potassium Chl 40 mEq / 1000 mL NS,325,92,456,45,66,98,527,104
Lansoprazole,325,78,384,174,75,46,473,170
Zinc Sulfate,322,150,366,78,38,77,246,119
Clonidine HCl,322,80,492,89,65,52,353,120
Citalopram,320,223,431,95,118,102,480,126
Oxycodone (Sustained Release),319,64,342,88,31,67,318,108
Magnesium Citrate,315,135,437,108,103,69,623,129
Anti-Thymocyte Globulin (Rabbit),313,463,625,37,19,165,135,77
Paroxetine,313,200,485,94,151,63,569,138
Rosuvastatin Calcium,311,299,724,209,137,15,781,84
Donepezil,305,207,298,103,29,16,429,97
Acetylcysteine (IV),304,58,76,6,59,100,105,42
Albumin 5% (25 g),303,74,186,61,23,205,223,59
Metoprolol XL (Toprol XL),302,284,456,217,62,25,519,131
Midodrine HCl,299,119,295,30,27,316,102,84
Artificial Tears Preserv. Free,299,117,226,85,44,44,316,90
Heparin Flush (5000 Units/mL),297,339,303,65,54,64,96,69
D5W (Excel),297,56,29,1,0,0,126,30
Hydroxyurea,295,83,133,40,42,17,275,223
Heparin (CRRT Machine Priming),292,180,147,37,41,126,83,83
Sulfameth/Trimethoprim Suspension,289,112,224,18,42,357,176,84
Guaifenesin-Dextromethorphan,288,145,235,123,118,52,340,220
sevelamer CARBONATE,286,623,647,97,65,86,66,92
Mupirocin Nasal Ointment 2%,284,251,608,320,113,52,864,54
Fluticasone-Salmeterol (250/50) ,283,178,396,125,343,44,495,160
Fluticasone Propionate NASAL,281,235,418,97,295,56,521,127
Fluoxetine,280,204,473,90,155,95,538,130
Sodium Chloride ,280,44,133,42,7,76,69,29
Sodium Chloride 3% (Hypertonic),279,58,240,43,79,138,631,170
Fosphenytoin,277,137,258,44,43,56,338,80
Albuterol MDI,274,170,277,76,146,38,320,117
GlipiZIDE,272,243,1009,110,65,35,558,83
Naloxone HCl,272,117,254,51,53,88,221,93
Fexofenadine,268,191,398,126,282,57,499,129
CeftazIDIME,267,188,308,60,54,31,250,100
Carbidopa-Levodopa (25-100),267,103,184,57,38,10,387,111
OxycoDONE-Acetaminophen Elixir,265,135,359,70,115,59,529,156
Mycophenolate Mofetil Suspension,259,139,225,25,37,366,112,68
D5W (Glass Bottle),255,27,89,38,13,27,150,45
D5LR,251,95,288,33,44,32,370,72
Lidocaine Viscous 2%,250,128,235,54,44,70,230,108
PHENObarbital,249,51,135,32,19,61,129,79
NIFEdipine,247,229,281,35,35,13,209,73
Doxazosin,247,216,372,81,42,19,351,90
Syringe (Chemo),245,50,70,18,23,13,163,135
Hydrocortisone,243,109,308,65,59,51,181,116
GlyBURIDE,239,201,1149,189,68,48,776,88
Tamsulosin HCl,239,113,355,138,32,23,487,71
Valproate Sodium,238,127,206,88,51,29,348,157
Albumin 5% (12.5gm),236,10,67,56,10,102,109,36
Protamine Sulfate,234,108,318,203,47,31,677,49
Montelukast Sodium,233,144,398,76,669,45,586,128
HYDROmorphone,231,182,412,56,105,89,608,146
HydrOXYzine,230,204,282,15,114,122,192,85
AcetaZOLamide,230,85,201,67,64,50,248,114
Sertraline HCl,230,33,308,106,35,38,270,84
Promethazine,228,140,338,33,93,81,241,68
BuPROPion (Sustained Release),224,150,389,77,135,62,397,90
Imipenem-Cilastatin,222,72,184,34,31,36,172,62
Cetylpyridinium Chl (Cepacol),221,80,279,104,64,43,320,108
Amoxicillin-Clavulanic Acid,220,138,334,59,77,47,329,103
Hyoscyamine,219,119,176,42,30,52,232,79
Naloxone,216,169,249,21,67,64,222,103
Unasyn,216,27,304,59,25,255,212,56
MetFORMIN (Glucophage),215,112,1600,168,138,63,1185,92
Enalapril Maleate,212,129,481,133,88,29,613,68
Alteplase,212,128,223,39,49,36,230,95
Ezetimibe,210,225,667,187,83,39,742,81
Brimonidine Tartrate 0.15% Ophth.,210,198,439,124,48,19,434,99
CycloSPORINE Modified (Neoral),209,20,125,20,11,274,256,92
Venlafaxine XR,205,147,357,93,125,40,350,98
Oxymetazoline HCl,205,47,156,71,36,39,150,63
traMADOL,204,50,291,127,50,64,322,73
Heparin Flush CRRT (5000 Units/mL),202,121,136,41,16,54,60,33
Oxybutynin,202,96,217,73,41,27,320,77
LaMIVudine,200,177,184,6,45,103,82,74
Cefpodoxime Proxetil,199,142,213,53,41,34,205,169
Nystatin Cream,199,72,169,42,42,39,216,84
Adenosine,198,87,120,43,38,49,195,77
Valproic Acid,198,73,259,80,46,15,273,172
Valganciclovir HCl,197,67,335,15,18,223,114,42
Gastroview (Diatrizoate Meglumine & Sodium),196,77,120,24,43,95,163,53
Duloxetine,195,127,419,59,89,60,383,87
Potassium Chl 40 mEq / 1000 mL D5W,195,60,116,26,15,57,130,51
Baclofen,195,48,209,19,87,32,325,97
Morphine Sulfate SR,195,34,178,35,28,50,218,87
Chlorhexidine Gluconate,194,41,88,48,26,26,147,81
Ranitidine (Liquid),193,89,180,61,43,39,225,83
Cyclophosphamide,192,50,45,12,14,14,87,74
Lidocaine Jelly 2%,191,79,131,52,25,63,138,53
Miconazole 2% Cream,191,67,203,46,27,45,179,55
Clotrimazole,188,52,89,18,30,118,137,81
Penicillin G Potassium,188,46,129,15,43,18,118,46
Vancomycin Enema,185,44,77,32,27,49,121,30
Oxymetazoline,184,113,168,42,38,78,174,57
CefTAZidime,181,174,208,27,67,49,177,100
Escitalopram Oxalate,180,116,325,72,75,70,419,80
Enalaprilat,180,67,238,109,53,28,485,81
Bupivacaine 0.5%,179,80,319,44,202,28,671,128
Phosphorus,179,78,176,35,45,60,250,87
Ethacrynate Sodium,179,55,82,26,22,11,107,69
Magnesium Sulfate Replacement (Oncology),179,36,81,20,33,19,211,116
Fat Emulsion 20%,178,44,77,7,27,26,136,36
Albumin 5% (12.5 g),176,60,101,46,18,99,164,39
Cholestyramine,175,80,108,30,20,109,113,49
Diphenoxylate-Atropine,175,54,113,43,28,24,154,28
Amikacin,173,72,113,10,19,26,85,26
Cyclosporine (Sandimmune),173,4,51,9,0,63,17,28
Acetazolamide Sodium,171,5,130,66,31,53,218,100
Dexmedetomidine HCl,170,37,260,132,63,33,447,102
Bacitracin Ointment,169,81,183,45,23,49,174,59
Atovaquone Suspension,169,53,65,16,31,27,103,79
Isosorbide Mononitrate,168,112,339,177,20,3,330,61
Verapamil HCl,168,78,168,61,86,9,317,126
0.83% Sodium Chloride,167,155,296,43,70,34,678,65
Calcitonin Salmon,167,79,115,22,20,40,108,71
Aminocaproic Acid,167,58,66,7,38,112,93,48
Paroxetine HCl,166,35,303,97,50,36,311,77
Rifampin,165,69,128,25,8,35,112,56
Xopenex Neb,163,104,147,44,118,28,199,107
Guaifenesin-CODEINE Phosphate,163,97,127,31,81,22,175,127
Fluoxetine HCl,163,59,269,80,53,30,265,79
Methylnaltrexone,163,54,79,20,34,43,126,58
Alendronate Sodium,162,73,151,50,56,22,325,70
Potassium Chl 20 mEq / 1000 mL D5NS,162,66,265,19,38,40,456,75
Hespan,162,40,216,151,56,26,367,38
MoviPrep,161,110,197,18,41,75,199,29
Mannitol 20%,161,70,393,110,114,92,1139,299
